time_s,beat,phase,rate_nL_min,command,mode,message\n0.000870,0,summary,21.000000000,,pulse,bpm=140.000;requested_sv_nL=0.150000;effective_sv_nL=0.150000;requested_flow_nL_min=21.000000;effective_flow_nL_min=21.000000;requested_meanStepHz=6.743738;effective_meanStepHz=6.743738;stroke_steps=-1;stroke_adjusted=0;pulseDeliveryMode=physiology;systoleVol_nL=0.149571;diastoleRate_nL_min=0.100000;rateCompGain=1.381215;compMode=hamilton_100uL_physiology_bpm;targetBeats=70;effectiveRun_s=30.000000
16.893649,40,command,0.100000000,irate 0.100000 nl/m,pulse,
16.899722,40,command,NaN,stop,pulse,
17.151647,41,command,72.306629834,irate 72.306630 nl/m,pulse,
17.158594,41,command,NaN,run,pulse,
17.321673,41,command,0.100000000,irate 0.100000 nl/m,pulse,
17.327735,41,command,NaN,stop,pulse,
17.580465,42,command,72.306629834,irate 72.306630 nl/m,pulse,
17.587704,42,command,NaN,run,pulse,
17.750186,42,command,0.100000000,irate 0.100000 nl/m,pulse,
17.756134,42,command,NaN,stop,pulse,
18.008627,43,command,72.306629834,irate 72.306630 nl/m,pulse,
18.015408,43,command,NaN,run,pulse,
18.179282,43,command,0.100000000,irate 0.100000 nl/m,pulse,
18.185531,43,command,NaN,stop,pulse,
18.436072,44,command,72.306629834,irate 72.306630 nl/m,pulse,
18.442582,44,command,NaN,run,pulse,
18.609297,44,command,0.100000000,irate 0.100000 nl/m,pulse,
18.615549,44,command,NaN,stop,pulse,
18.868784,45,command,72.306629834,irate 72.306630 nl/m,pulse,
18.875633,45,command,NaN,run,pulse,
19.036397,45,command,0.100000000,irate 0.100000 nl/m,pulse,
19.042381,45,command,NaN,stop,pulse,
19.293945,46,command,72.306629834,irate 72.306630 nl/m,pulse,
19.300539,46,command,NaN,run,pulse,
19.465455,46,command,0.100000000,irate 0.100000 nl/m,pulse,
19.472016,46,command,NaN,stop,pulse,
19.722929,47,command,72.306629834,irate 72.306630 nl/m,pulse,
19.729383,47,command,NaN,run,pulse,
19.893868,47,command,0.100000000,irate 0.100000 nl/m,pulse,
19.899809,47,command,NaN,stop,pulse,
20.152138,48,command,72.306629834,irate 72.306630 nl/m,pulse,
20.159378,48,command,NaN,run,pulse,
20.322303,48,command,0.100000000,irate 0.100000 nl/m,pulse,
20.328261,48,command,NaN,stop,pulse,
20.578941,49,command,72.306629834,irate 72.306630 nl/m,pulse,
20.585124,49,command,NaN,run,pulse,
20.750454,49,command,0.100000000,irate 0.100000 nl/m,pulse,
20.757162,49,command,NaN,stop,pulse,
21.009942,50,command,72.306629834,irate 72.306630 nl/m,pulse,
21.017133,50,command,NaN,run,pulse,
21.178928,50,command,0.100000000,irate 0.100000 nl/m,pulse,
21.185015,50,command,NaN,stop,pulse,
21.438330,51,command,72.306629834,irate 72.306630 nl/m,pulse,
